Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CL=F,CL=F,CL=F,CL=F,CL=F,CL=F
Date,,,,,,
2018-01-02,60.369998931884766,60.369998931884766,60.7400016784668,60.099998474121094,60.20000076293945,510313
2018-01-03,61.630001068115234,61.630001068115234,61.970001220703125,60.279998779296875,60.38999938964844,673859
2018-01-04,62.0099983215332,62.0099983215332,62.209999084472656,61.59000015258789,61.959999084472656,654363
2018-01-05,61.439998626708984,61.439998626708984,62.040000915527344,61.09000015258789,61.900001525878906,563036
2018-01-08,61.72999954223633,61.72999954223633,61.970001220703125,61.34000015258789,61.61000061035156,616474
2018-01-09,62.959999084472656,62.959999084472656,63.47999954223633,61.79999923706055,61.91999816894531,844720
2018-01-10,63.56999969482422,63.56999969482422,63.66999816894531,63.09000015258789,63.40999984741211,697844
2018-01-11,63.79999923706055,63.79999923706055,64.7699966430664,63.43000030517578,63.5,876642
2018-01-12,64.30000305175781,64.30000305175781,64.5,63.060001373291016,63.56999969482422,678727
2018-01-16,63.72999954223633,63.72999954223633,64.88999938964844,63.38999938964844,64.43000030517578,867771
2018-01-17,63.970001220703125,63.970001220703125,64.16999816894531,63.310001373291016,63.88999938964844,444384
2018-01-18,63.95000076293945,63.95000076293945,64.3499984741211,63.470001220703125,64.06999969482422,204504
2018-01-19,63.369998931884766,63.369998931884766,63.77000045776367,62.849998474121094,63.7400016784668,142711
2018-01-22,63.4900016784668,63.4900016784668,64.13999938964844,63.16999816894531,63.61000061035156,625662
2018-01-23,64.47000122070312,64.47000122070312,64.87999725341797,63.70000076293945,63.880001068115234,662456
2018-01-24,65.61000061035156,65.61000061035156,66.05000305175781,64.33999633789062,64.41999816894531,887018
2018-01-25,65.51000213623047,65.51000213623047,66.66000366210938,65.08000183105469,65.87999725341797,771758
2018-01-26,66.13999938964844,66.13999938964844,66.3499984741211,64.91000366210938,65.25,678186
2018-01-29,65.55999755859375,65.55999755859375,66.45999908447266,64.9800033569336,66.18000030517578,656168
2018-01-30,64.5,64.5,65.55999755859375,63.88999938964844,65.52999877929688,688380
2018-01-31,64.7300033569336,64.7300033569336,64.94000244140625,63.66999816894531,64.02999877929688,613258
2018-02-01,65.80000305175781,65.80000305175781,66.25,64.62999725341797,64.76000213623047,685750
2018-02-02,65.44999694824219,65.44999694824219,66.30000305175781,64.47000122070312,65.98999786376953,857572
2018-02-05,64.1500015258789,64.1500015258789,65.4000015258789,63.41999816894531,65.0999984741211,891063
2018-02-06,63.38999938964844,63.38999938964844,64.29000091552734,63.119998931884766,63.43000030517578,797814
2018-02-07,61.790000915527344,61.790000915527344,64.18000030517578,61.25,63.91999816894531,1029408
2018-02-08,61.150001525878906,61.150001525878906,62.09000015258789,60.27000045776367,61.70000076293945,929578
2018-02-09,59.20000076293945,59.20000076293945,60.77000045776367,58.06999969482422,60.43000030517578,933307
2018-02-12,59.290000915527344,59.290000915527344,60.83000183105469,59.099998474121094,59.119998931884766,736917
2018-02-13,59.189998626708984,59.189998626708984,59.72999954223633,58.38999938964844,59.349998474121094,580600
2018-02-14,60.599998474121094,60.599998474121094,60.900001525878906,58.20000076293945,58.97999954223633,650324
2018-02-15,61.34000015258789,61.34000015258789,61.63999938964844,59.720001220703125,60.709999084472656,340401
2018-02-16,61.68000030517578,61.68000030517578,61.9900016784668,60.880001068115234,61.45000076293945,181179
2018-02-20,61.900001525878906,61.900001525878906,62.7400016784668,61.58000183105469,61.630001068115234,794481
2018-02-21,61.68000030517578,61.68000030517578,61.86000061035156,60.91999816894531,61.630001068115234,466924
2018-02-22,62.77000045776367,62.77000045776367,63.09000015258789,60.75,61.34000015258789,592603
2018-02-23,63.54999923706055,63.54999923706055,63.72999954223633,62.33000183105469,62.599998474121094,460597
2018-02-26,63.90999984741211,63.90999984741211,64.23999786376953,63.060001373291016,63.599998474121094,469853
2018-02-27,63.0099983215332,63.0099983215332,64.08000183105469,62.63999938964844,64.05999755859375,562670
2018-02-28,61.63999938964844,61.63999938964844,63.439998626708984,61.36000061035156,62.790000915527344,768409
2018-03-01,60.9900016784668,60.9900016784668,61.83000183105469,60.18000030517578,61.54999923706055,812505
2018-03-02,61.25,61.25,61.599998474121094,60.130001068115234,61.34000015258789,613514
2018-03-05,62.56999969482422,62.56999969482422,62.790000915527344,61.099998474121094,61.54999923706055,599266
2018-03-06,62.599998474121094,62.599998474121094,63.279998779296875,62.16999816894531,62.58000183105469,634953
2018-03-07,61.150001525878906,61.150001525878906,62.58000183105469,60.58000183105469,62.29999923706055,879119
2018-03-08,60.119998931884766,60.119998931884766,61.400001525878906,59.95000076293945,61.33000183105469,720510
2018-03-09,62.040000915527344,62.040000915527344,62.18000030517578,60.13999938964844,60.27000045776367,659722
2018-03-12,61.36000061035156,61.36000061035156,62.33000183105469,60.66999816894531,62.099998474121094,537990
2018-03-13,60.709999084472656,60.709999084472656,61.970001220703125,60.27000045776367,61.369998931884766,747738
2018-03-14,60.959999084472656,60.959999084472656,61.33000183105469,60.11000061035156,60.869998931884766,665017
2018-03-15,61.189998626708984,61.189998626708984,61.540000915527344,60.81999969482422,60.95000076293945,430201
2018-03-16,62.34000015258789,62.34000015258789,62.540000915527344,61.08000183105469,61.189998626708984,202493
2018-03-19,62.060001373291016,62.060001373291016,62.349998474121094,61.36000061035156,62.22999954223633,115962
2018-03-20,63.400001525878906,63.400001525878906,63.810001373291016,62.08000183105469,62.099998474121094,717709
2018-03-21,65.16999816894531,65.16999816894531,65.55000305175781,63.58000183105469,63.720001220703125,763768
2018-03-22,64.30000305175781,64.30000305175781,65.73999786376953,64.13999938964844,65.5,689172
2018-03-23,65.87999725341797,65.87999725341797,66.0,64.11000061035156,64.27999877929688,752994
2018-03-26,65.55000305175781,65.55000305175781,66.55000305175781,65.08000183105469,65.9000015258789,585899
2018-03-27,65.25,65.25,66.41000366210938,64.52999877929688,65.52999877929688,670811
2018-03-28,64.37999725341797,64.37999725341797,65.12999725341797,63.720001220703125,64.69999694824219,697678
2018-03-29,64.94000244140625,64.94000244140625,65.26000213623047,64.16000366210938,64.69000244140625,562819
2018-04-02,63.0099983215332,63.0099983215332,65.41999816894531,62.79999923706055,64.91000366210938,582742
2018-04-03,63.5099983215332,63.5099983215332,63.86000061035156,62.86000061035156,62.88999938964844,527289
2018-04-04,63.369998931884766,63.369998931884766,63.63999938964844,62.060001373291016,63.59000015258789,760596
2018-04-05,63.540000915527344,63.540000915527344,64.12000274658203,63.06999969482422,63.599998474121094,588597
2018-04-06,62.060001373291016,62.060001373291016,63.790000915527344,61.810001373291016,63.70000076293945,753262
2018-04-09,63.41999816894531,63.41999816894531,63.61000061035156,61.93000030517578,62.0,655831
2018-04-10,65.51000213623047,65.51000213623047,65.86000061035156,63.20000076293945,63.29999923706055,840280
2018-04-11,66.81999969482422,66.81999969482422,67.44999694824219,65.1500015258789,65.58999633789062,963017
